ID,seconds_to_first_goal_switch,total_returns
6,54.767,4
12,143.416,1
13,27.633,31
22,34.767,6
23,25.35,1
26,81.733,1
32,81.834,1
35,79.217,2
36,109.767,2
37,359.067,2
38,35.834,2
41,109.4,4
42,44.316,17
45,76.417,1
46,29.4,7
47,98.034,2
53,121.483,2
57,26.083,4
62,60.35,0
63,34.017,3
64,293.633,20
67,60.5,1
70,98.866,0
71,83.983,4
73,131.466,4
74,285.433,5
76,164.217,1
80,120.683,2
83,26.433,3
90,180.367,1
91,151.617,0
100,81.983,11
105,31.817,1
109,81.984,3
117,70.25,2
121,20.017,3
123,50.166,1
126,183.7,5
134,26.216,1
136,26.95,10
143,33.634,7
145,171.334,24
147,58.25,5
149,176.133,2
150,71.283,1
151,170.983,1
152,44.167,6
153,176.032,4
156,108.767,7
160,820.849,4
166,143.684,1
168,89.017,3
176,44.033,6
181,40.234,4
182,40.867,2
183,162.2,6
184,22.834,1
185,54.217,0
191,162.833,1
192,38.95,3
193,33.933,4
194,97.601,4
195,146.282,0
196,51.6,2
197,107.733,2
198,150.433,3
200,122.7,2
202,52.533,1
204,93.783,2
205,33.766,5
208,61.933,2
210,52.5,7
212,23.734,2
215,162.833,1
216,30.734,1
217,154.932,1
219,130.633,2
220,35.966,5
221,78.367,0
222,156.067,3
224,55.216,8
225,57.816,5
226,92.633,1
227,94.917,6
230,31.017,3
235,34.583,3
236,150.484,2
237,56.866,1
238,121.95,19
240,137.817,5
241,151.6,0
242,38.617,14
245,24.467,5
248,44.934,4
251,57.817,3
252,77.067,4
