ID,total_returns,seconds_to_first_goal_switch,cluster,cluster-category-bw
2,2,13.416,1,low-returns_fast-reframe
6,0,8.816,1,low-returns_fast-reframe
12,11,17.533,3,low-returns_slow-reframe
13,3,9.3,1,low-returns_fast-reframe
22,0,15.067,1,low-returns_fast-reframe
23,2,31.5,3,low-returns_slow-reframe
24,2,0.383,1,low-returns_fast-reframe
26,7,16.517,3,low-returns_slow-reframe
27,0,18.35,1,low-returns_fast-reframe
29,1,8.116,1,low-returns_fast-reframe
34,1,6.067,1,low-returns_fast-reframe
35,6,10.1,1,low-returns_fast-reframe
36,12,24.017,3,low-returns_slow-reframe
37,10,9.517,1,low-returns_fast-reframe
38,0,4.85,1,low-returns_fast-reframe
41,2,15.634,1,low-returns_fast-reframe
42,0,39.35,3,low-returns_slow-reframe
44,0,16.383,1,low-returns_fast-reframe
46,2,25.117,3,low-returns_slow-reframe
48,14,6.733,2,high-returns_fast-reframe
51,0,10.333,1,low-returns_fast-reframe
53,6,29.434,3,low-returns_slow-reframe
57,2,10.567,1,low-returns_fast-reframe
62,1,17.017,1,low-returns_fast-reframe
63,9,14.217,3,low-returns_slow-reframe
67,0,31.3,3,low-returns_slow-reframe
70,1,7.766,1,low-returns_fast-reframe
71,2,22.134,3,low-returns_slow-reframe
72,13,7.333,2,high-returns_fast-reframe
73,0,11.6,1,low-returns_fast-reframe
74,0,9.266,1,low-returns_fast-reframe
76,15,10.183,2,high-returns_fast-reframe
80,0,9.0,1,low-returns_fast-reframe
81,5,5.867,1,low-returns_fast-reframe
83,7,3.334,1,low-returns_fast-reframe
84,0,9.834,1,low-returns_fast-reframe
85,3,3.2,1,low-returns_fast-reframe
87,6,15.167,3,low-returns_slow-reframe
90,3,9.6,1,low-returns_fast-reframe
91,2,14.816,1,low-returns_fast-reframe
98,9,1.6,1,low-returns_fast-reframe
99,7,11.317,1,low-returns_fast-reframe
100,2,25.366,3,low-returns_slow-reframe
102,9,16.083,3,low-returns_slow-reframe
103,10,25.933,3,low-returns_slow-reframe
105,0,9.25,1,low-returns_fast-reframe
109,0,16.917,1,low-returns_fast-reframe
116,3,37.733,3,low-returns_slow-reframe
117,1,9.267,1,low-returns_fast-reframe
118,2,5.9,1,low-returns_fast-reframe
121,10,15.55,3,low-returns_slow-reframe
123,5,19.05,3,low-returns_slow-reframe
126,0,11.6,1,low-returns_fast-reframe
134,2,4.8,1,low-returns_fast-reframe
135,7,12.083,1,low-returns_fast-reframe
136,2,5.5,1,low-returns_fast-reframe
137,6,18.867,3,low-returns_slow-reframe
141,6,9.533,1,low-returns_fast-reframe
142,1,15.8,1,low-returns_fast-reframe
143,2,7.117,1,low-returns_fast-reframe
145,3,30.033,3,low-returns_slow-reframe
147,8,29.683,3,low-returns_slow-reframe
149,2,12.467,1,low-returns_fast-reframe
150,0,13.35,1,low-returns_fast-reframe
151,14,5.55,2,high-returns_fast-reframe
152,0,7.867,1,low-returns_fast-reframe
154,1,11.267,1,low-returns_fast-reframe
156,8,8.85,1,low-returns_fast-reframe
158,3,11.633,1,low-returns_fast-reframe
162,8,3.217,1,low-returns_fast-reframe
166,3,15.85,1,low-returns_fast-reframe
173,2,15.783,1,low-returns_fast-reframe
174,2,23.0,3,low-returns_slow-reframe
175,2,18.467,1,low-returns_fast-reframe
176,23,10.067,2,high-returns_fast-reframe
181,13,15.033,2,high-returns_fast-reframe
182,4,6.666,1,low-returns_fast-reframe
183,0,14.083,1,low-returns_fast-reframe
184,8,20.134,3,low-returns_slow-reframe
185,1,14.15,1,low-returns_fast-reframe
188,5,2.4,1,low-returns_fast-reframe
190,3,6.883,1,low-returns_fast-reframe
191,6,6.65,1,low-returns_fast-reframe
192,3,6.766,1,low-returns_fast-reframe
193,0,13.033,1,low-returns_fast-reframe
194,2,19.366,1,low-returns_fast-reframe
195,0,7.333,1,low-returns_fast-reframe
196,5,1.483,1,low-returns_fast-reframe
197,5,7.55,1,low-returns_fast-reframe
198,2,12.183,1,low-returns_fast-reframe
199,10,7.633,1,low-returns_fast-reframe
200,19,34.183,2,high-returns_fast-reframe
202,4,11.816,1,low-returns_fast-reframe
204,5,1.917,1,low-returns_fast-reframe
205,6,27.7,3,low-returns_slow-reframe
207,1,25.417,3,low-returns_slow-reframe
208,17,24.666,2,high-returns_fast-reframe
209,0,17.6,1,low-returns_fast-reframe
210,9,6.166,1,low-returns_fast-reframe
212,7,16.9,3,low-returns_slow-reframe
213,2,10.967,1,low-returns_fast-reframe
215,0,23.816,3,low-returns_slow-reframe
217,2,8.767,1,low-returns_fast-reframe
219,0,8.817,1,low-returns_fast-reframe
220,1,11.6,1,low-returns_fast-reframe
221,0,5.816,1,low-returns_fast-reframe
222,4,34.65,3,low-returns_slow-reframe
223,6,2.05,1,low-returns_fast-reframe
224,9,16.933,3,low-returns_slow-reframe
225,5,21.016,3,low-returns_slow-reframe
226,0,15.05,1,low-returns_fast-reframe
227,6,6.95,1,low-returns_fast-reframe
229,2,12.75,1,low-returns_fast-reframe
230,2,6.583,1,low-returns_fast-reframe
232,13,24.9,3,low-returns_slow-reframe
235,1,17.0,1,low-returns_fast-reframe
236,1,30.633,3,low-returns_slow-reframe
237,7,22.95,3,low-returns_slow-reframe
238,0,14.6,1,low-returns_fast-reframe
239,2,1.433,1,low-returns_fast-reframe
240,4,16.4,1,low-returns_fast-reframe
241,2,6.517,1,low-returns_fast-reframe
242,0,34.366,3,low-returns_slow-reframe
243,2,8.217,1,low-returns_fast-reframe
244,13,8.417,2,high-returns_fast-reframe
246,4,4.184,1,low-returns_fast-reframe
248,4,7.817,1,low-returns_fast-reframe
251,3,2.5,1,low-returns_fast-reframe
252,15,14.133,2,high-returns_fast-reframe
255,20,8.283,2,high-returns_fast-reframe
257,17,25.35,2,high-returns_fast-reframe
