ID,cluster-category-oor,cluster-category-bw
2,low-returns_fast-reframe,low-returns_fast-reframe
6,low-returns_fast-reframe,low-returns_fast-reframe
12,low-returns_fast-reframe,low-returns_slow-reframe
13,low-returns_fast-reframe,low-returns_fast-reframe
22,low-returns_fast-reframe,low-returns_fast-reframe
23,low-returns_fast-reframe,low-returns_slow-reframe
24,low-returns_fast-reframe,low-returns_fast-reframe
26,low-returns_fast-reframe,low-returns_slow-reframe
27,low-returns_fast-reframe,low-returns_fast-reframe
29,low-returns_fast-reframe,low-returns_fast-reframe
34,low-returns_fast-reframe,low-returns_fast-reframe
35,low-returns_fast-reframe,low-returns_fast-reframe
37,low-returns_fast-reframe,low-returns_fast-reframe
38,low-returns_fast-reframe,low-returns_fast-reframe
41,low-returns_fast-reframe,low-returns_fast-reframe
42,low-returns_fast-reframe,low-returns_slow-reframe
44,low-returns_fast-reframe,low-returns_fast-reframe
46,low-returns_fast-reframe,low-returns_slow-reframe
48,low-returns_slow-reframe,high-returns_fast-reframe
51,low-returns_fast-reframe,low-returns_fast-reframe
53,low-returns_fast-reframe,low-returns_slow-reframe
62,low-returns_fast-reframe,low-returns_fast-reframe
63,low-returns_slow-reframe,low-returns_slow-reframe
67,low-returns_fast-reframe,low-returns_slow-reframe
70,low-returns_fast-reframe,low-returns_fast-reframe
71,low-returns_fast-reframe,low-returns_slow-reframe
72,low-returns_fast-reframe,high-returns_fast-reframe
73,low-returns_fast-reframe,low-returns_fast-reframe
74,low-returns_fast-reframe,low-returns_fast-reframe
76,low-returns_fast-reframe,high-returns_fast-reframe
80,low-returns_fast-reframe,low-returns_fast-reframe
81,low-returns_fast-reframe,low-returns_fast-reframe
83,low-returns_fast-reframe,low-returns_fast-reframe
84,low-returns_fast-reframe,low-returns_fast-reframe
85,low-returns_fast-reframe,low-returns_fast-reframe
87,low-returns_fast-reframe,low-returns_slow-reframe
90,high-returns_fast-reframe,low-returns_fast-reframe
91,low-returns_fast-reframe,low-returns_fast-reframe
98,low-returns_fast-reframe,low-returns_fast-reframe
99,low-returns_fast-reframe,low-returns_fast-reframe
100,low-returns_slow-reframe,low-returns_slow-reframe
102,low-returns_fast-reframe,low-returns_slow-reframe
103,low-returns_slow-reframe,low-returns_slow-reframe
105,low-returns_fast-reframe,low-returns_fast-reframe
109,low-returns_fast-reframe,low-returns_fast-reframe
117,low-returns_slow-reframe,low-returns_fast-reframe
118,low-returns_fast-reframe,low-returns_fast-reframe
121,low-returns_fast-reframe,low-returns_slow-reframe
123,low-returns_fast-reframe,low-returns_slow-reframe
126,low-returns_fast-reframe,low-returns_fast-reframe
