ID,cluster-category-oor,cluster-category-bw,cluster-category-cs
6,1,1,1
12,1,2,1
22,1,1,3
23,1,2,1
26,1,2,1
35,1,1,1
37,1,1,1
38,1,1,1
41,1,1,1
42,1,2,3
46,1,2,3
53,1,2,1
62,1,1,1
63,2,2,1
67,1,2,1
70,1,1,1
71,1,2,1
73,1,1,1
74,1,1,3
76,1,3,1
80,1,1,1
83,1,1,2
90,3,1,1
91,1,1,1
100,2,2,3
105,1,1,1
109,1,1,1
117,2,1,1
121,1,2,2
123,1,2,1
126,1,1,1
134,1,1,1
136,1,1,2
143,1,1,3
147,2,2,1
149,1,1,1
150,1,1,1
151,1,3,1
152,2,1,2
156,1,1,3
166,2,1,1
176,1,3,3
181,1,3,1
182,1,1,1
183,1,1,3
184,1,2,1
185,1,1,1
191,1,1,1
192,1,1,2
193,1,1,1
194,3,1,1
195,1,1,1
196,1,1,1
197,1,1,1
198,1,1,1
200,3,3,1
202,3,1,1
204,1,1,1
205,1,2,3
208,1,3,1
210,3,1,3
215,1,2,1
217,1,1,1
219,1,1,1
220,1,1,3
221,1,1,1
225,1,2,1
226,1,1,1
227,2,1,3
230,1,1,1
235,2,1,1
236,1,2,2
237,1,2,1
240,1,1,1
241,3,1,1
242,1,2,3
248,1,1,1
251,1,1,2
252,1,3,1
