ID,seconds_to_first_goal_switch,total_returns,cluster,cluster-category-cs
6,19.083,2,1,low-returns_fast-reframe
12,42.933,0,1,low-returns_fast-reframe
22,106.75,4,3,high-returns_fast-reframe
23,90.867,0,1,low-returns_fast-reframe
26,55.784,0,1,low-returns_fast-reframe
32,122.233,0,1,low-returns_fast-reframe
35,6.666,0,1,low-returns_fast-reframe
36,47.233,1,1,low-returns_fast-reframe
37,8.483,1,1,low-returns_fast-reframe
38,51.833,1,1,low-returns_fast-reframe
41,103.733,2,1,low-returns_fast-reframe
42,62.75,8,3,high-returns_fast-reframe
45,21.983,0,1,low-returns_fast-reframe
46,45.016,5,3,high-returns_fast-reframe
47,25.45,1,1,low-returns_fast-reframe
53,39.9,0,1,low-returns_fast-reframe
57,276.6,2,2,low-returns_slow-reframe
62,134.967,0,1,low-returns_fast-reframe
63,81.3,2,1,low-returns_fast-reframe
67,66.35,0,1,low-returns_fast-reframe
70,0.0,0,1,low-returns_fast-reframe
71,131.5,2,1,low-returns_fast-reframe
73,44.35,2,1,low-returns_fast-reframe
74,16.75,4,3,high-returns_fast-reframe
76,22.55,0,1,low-returns_fast-reframe
80,47.034,2,1,low-returns_fast-reframe
83,185.683,2,2,low-returns_slow-reframe
90,50.134,0,1,low-returns_fast-reframe
91,0.0,0,1,low-returns_fast-reframe
100,45.65,8,3,high-returns_fast-reframe
105,74.417,0,1,low-returns_fast-reframe
109,17.65,1,1,low-returns_fast-reframe
117,22.65,0,1,low-returns_fast-reframe
121,215.866,1,2,low-returns_slow-reframe
123,115.383,0,1,low-returns_fast-reframe
126,32.1,3,1,low-returns_fast-reframe
134,51.333,0,1,low-returns_fast-reframe
136,316.667,8,2,low-returns_slow-reframe
143,14.166,6,3,high-returns_fast-reframe
147,26.6,2,1,low-returns_fast-reframe
149,71.516,1,1,low-returns_fast-reframe
150,45.134,0,1,low-returns_fast-reframe
151,8.516,0,1,low-returns_fast-reframe
152,223.967,4,2,low-returns_slow-reframe
153,104.717,2,1,low-returns_fast-reframe
156,46.634,6,3,high-returns_fast-reframe
160,311.6,2,2,low-returns_slow-reframe
166,31.384,0,1,low-returns_fast-reframe
168,25.333,0,1,low-returns_fast-reframe
176,13.0,5,3,high-returns_fast-reframe
181,116.217,2,1,low-returns_fast-reframe
182,32.083,1,1,low-returns_fast-reframe
183,41.567,4,3,high-returns_fast-reframe
184,79.2,0,1,low-returns_fast-reframe
185,0.0,0,1,low-returns_fast-reframe
191,60.867,0,1,low-returns_fast-reframe
192,192.617,2,2,low-returns_slow-reframe
193,123.2,2,1,low-returns_fast-reframe
194,60.817,3,1,low-returns_fast-reframe
195,0.0,0,1,low-returns_fast-reframe
196,22.067,0,1,low-returns_fast-reframe
197,86.35,1,1,low-returns_fast-reframe
198,53.433,1,1,low-returns_fast-reframe
200,18.384,1,1,low-returns_fast-reframe
202,107.067,0,1,low-returns_fast-reframe
204,25.9,0,1,low-returns_fast-reframe
205,102.717,4,3,high-returns_fast-reframe
208,10.516,1,1,low-returns_fast-reframe
210,29.384,5,3,high-returns_fast-reframe
215,37.016,0,1,low-returns_fast-reframe
216,19.484,0,1,low-returns_fast-reframe
217,101.434,0,1,low-returns_fast-reframe
219,68.75,1,1,low-returns_fast-reframe
220,70.1,4,3,high-returns_fast-reframe
221,0.0,0,1,low-returns_fast-reframe
224,77.017,5,3,high-returns_fast-reframe
225,42.45,3,1,low-returns_fast-reframe
226,29.1,0,1,low-returns_fast-reframe
227,26.567,5,3,high-returns_fast-reframe
230,72.117,1,1,low-returns_fast-reframe
235,71.167,2,1,low-returns_fast-reframe
236,170.65,1,2,low-returns_slow-reframe
237,60.266,0,1,low-returns_fast-reframe
240,82.533,2,1,low-returns_fast-reframe
241,0.0,0,1,low-returns_fast-reframe
242,80.15,10,3,high-returns_fast-reframe
245,262.733,4,2,low-returns_slow-reframe
248,46.084,3,1,low-returns_fast-reframe
251,296.117,2,2,low-returns_slow-reframe
252,7.467,2,1,low-returns_fast-reframe
