,ID,len_levels_complete,condition_1,condition_2
0,6,36,a,a
1,12,37,d,d1
2,22,24,c,c1
3,23,31,d,d1
4,26,38,d,d1
5,35,42,a,a
6,37,36,a,a
7,38,38,a,a
8,41,38,a,a
9,42,48,c,c2
10,46,26,c,c2
11,53,43,d,d1
12,62,28,a,a
13,63,31,b,b2
14,67,33,d,d1
15,70,20,a,a
16,71,27,d,d1
17,73,35,a,a
18,74,30,c,c1
19,76,21,d,d1
20,80,32,a,a
21,83,29,c,c1
22,90,43,b,b1
23,91,37,a,a
24,100,32,d,d2
25,105,39,a,a
26,109,48,a,a
27,117,35,b,b1
28,121,27,c,c2
29,123,24,d,d1
30,126,35,a,a
31,134,40,a,a
32,136,31,c,c1
33,143,38,c,c1
34,147,42,b,b2
35,149,31,a,a
36,150,67,a,a
37,151,37,d,d1
38,152,25,d,d2
39,156,29,c,c1
40,166,22,b,b1
41,176,40,c,c2
42,181,45,d,d1
43,182,25,a,a
44,183,27,c,c1
45,184,33,d,d1
46,185,52,a,a
47,191,40,a,a
48,192,37,c,c1
49,193,41,a,a
50,194,33,b,b1
51,195,47,a,a
52,196,50,a,a
53,197,63,a,a
54,198,92,a,a
55,200,29,b,b2
56,202,32,b,b1
57,204,48,a,a
58,205,40,c,c2
59,208,27,d,d1
60,210,31,d,d2
61,215,41,d,d1
62,217,24,a,a
63,219,54,a,a
64,220,34,c,c1
65,221,23,a,a
66,225,32,d,d1
67,226,55,a,a
68,227,45,d,d2
69,230,73,a,a
70,235,38,b,b1
71,236,57,c,c2
72,237,44,d,d1
73,240,39,a,a
74,241,34,b,b1
75,242,37,c,c2
76,248,22,a,a
77,251,31,c,c1
78,252,28,d,d1
