ID,approach
6,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
35,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
37,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
38,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
41,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
62,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
70,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
73,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
80,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
91,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
105,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
109,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
126,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
134,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
149,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
150,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
182,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
185,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
191,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
193,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
195,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
196,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
197,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
198,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
204,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
217,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
219,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
221,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
226,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
230,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
240,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
248,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
12,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
23,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
26,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
53,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
67,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
71,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
123,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
184,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
215,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
225,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
237,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
22,low-returns_fast-reframe -> low-returns_fast-reframe -> high-returns_fast-reframe
74,low-returns_fast-reframe -> low-returns_fast-reframe -> high-returns_fast-reframe
143,low-returns_fast-reframe -> low-returns_fast-reframe -> high-returns_fast-reframe
156,low-returns_fast-reframe -> low-returns_fast-reframe -> high-returns_fast-reframe
183,low-returns_fast-reframe -> low-returns_fast-reframe -> high-returns_fast-reframe
220,low-returns_fast-reframe -> low-returns_fast-reframe -> high-returns_fast-reframe
42,low-returns_fast-reframe -> low-returns_slow-reframe -> high-returns_fast-reframe
46,low-returns_fast-reframe -> low-returns_slow-reframe -> high-returns_fast-reframe
205,low-returns_fast-reframe -> low-returns_slow-reframe -> high-returns_fast-reframe
242,low-returns_fast-reframe -> low-returns_slow-reframe -> high-returns_fast-reframe
63,low-returns_slow-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
147,low-returns_slow-reframe -> low-returns_slow-reframe -> low-returns_fast-reframe
76,low-returns_fast-reframe -> high-returns_fast-reframe -> low-returns_fast-reframe
151,low-returns_fast-reframe -> high-returns_fast-reframe -> low-returns_fast-reframe
181,low-returns_fast-reframe -> high-returns_fast-reframe -> low-returns_fast-reframe
208,low-returns_fast-reframe -> high-returns_fast-reframe -> low-returns_fast-reframe
252,low-returns_fast-reframe -> high-returns_fast-reframe -> low-returns_fast-reframe
83,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_slow-reframe
136,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_slow-reframe
192,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_slow-reframe
251,low-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_slow-reframe
90,high-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
194,high-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
202,high-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
241,high-returns_fast-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
100,low-returns_slow-reframe -> low-returns_slow-reframe -> high-returns_fast-reframe
117,low-returns_slow-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
166,low-returns_slow-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
235,low-returns_slow-reframe -> low-returns_fast-reframe -> low-returns_fast-reframe
121,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_slow-reframe
236,low-returns_fast-reframe -> low-returns_slow-reframe -> low-returns_slow-reframe
152,low-returns_slow-reframe -> low-returns_fast-reframe -> low-returns_slow-reframe
176,low-returns_fast-reframe -> high-returns_fast-reframe -> high-returns_fast-reframe
200,high-returns_fast-reframe -> high-returns_fast-reframe -> low-returns_fast-reframe
210,high-returns_fast-reframe -> low-returns_fast-reframe -> high-returns_fast-reframe
227,low-returns_slow-reframe -> low-returns_fast-reframe -> high-returns_fast-reframe
