ID,lvl3,lvl2,lvl1,len_levels_complete
198,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,92
230,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,73
150,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,67
197,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,63
236,low-returns_slow-reframe,low-returns_slow-reframe,low-returns_fast-reframe,57
226,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,55
219,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,54
185,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,52
196,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,50
42,high-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,48
109,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,48
204,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,48
195,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,47
181,low-returns_fast-reframe,high-returns_fast-reframe,low-returns_fast-reframe,45
227,high-returns_fast-reframe,low-returns_fast-reframe,low-returns_slow-reframe,45
237,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,44
53,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,43
90,low-returns_fast-reframe,low-returns_fast-reframe,high-returns_fast-reframe,43
35,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,42
147,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_slow-reframe,42
193,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,41
215,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,41
134,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,40
176,high-returns_fast-reframe,high-returns_fast-reframe,low-returns_fast-reframe,40
191,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,40
205,high-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,40
105,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,39
240,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,39
26,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,38
38,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,38
41,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,38
143,high-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,38
235,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_slow-reframe,38
12,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,37
91,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,37
151,low-returns_fast-reframe,high-returns_fast-reframe,low-returns_fast-reframe,37
192,low-returns_slow-reframe,low-returns_fast-reframe,low-returns_fast-reframe,37
242,high-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,37
6,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,36
37,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,36
73,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,35
117,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_slow-reframe,35
126,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,35
220,high-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,34
241,low-returns_fast-reframe,low-returns_fast-reframe,high-returns_fast-reframe,34
67,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,33
184,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,33
194,low-returns_fast-reframe,low-returns_fast-reframe,high-returns_fast-reframe,33
80,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,32
100,high-returns_fast-reframe,low-returns_slow-reframe,low-returns_slow-reframe,32
202,low-returns_fast-reframe,low-returns_fast-reframe,high-returns_fast-reframe,32
225,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,32
23,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,31
63,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_slow-reframe,31
136,low-returns_slow-reframe,low-returns_fast-reframe,low-returns_fast-reframe,31
149,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,31
210,high-returns_fast-reframe,low-returns_fast-reframe,high-returns_fast-reframe,31
251,low-returns_slow-reframe,low-returns_fast-reframe,low-returns_fast-reframe,31
74,high-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,30
83,low-returns_slow-reframe,low-returns_fast-reframe,low-returns_fast-reframe,29
156,high-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,29
200,low-returns_fast-reframe,high-returns_fast-reframe,high-returns_fast-reframe,29
62,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,28
252,low-returns_fast-reframe,high-returns_fast-reframe,low-returns_fast-reframe,28
71,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,27
121,low-returns_slow-reframe,low-returns_slow-reframe,low-returns_fast-reframe,27
183,high-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,27
208,low-returns_fast-reframe,high-returns_fast-reframe,low-returns_fast-reframe,27
46,high-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,26
152,low-returns_slow-reframe,low-returns_fast-reframe,low-returns_slow-reframe,25
182,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,25
22,high-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,24
123,low-returns_fast-reframe,low-returns_slow-reframe,low-returns_fast-reframe,24
217,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,24
221,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,23
166,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_slow-reframe,22
248,low-returns_fast-reframe,low-returns_fast-reframe,low-returns_fast-reframe,22
