ID,seconds_to_first_goal_switch,total_returns,cluster,cluster-category-oor
1,227.766,2,3,low-returns_slow-reframe
2,20.617,0,1,low-returns_fast-reframe
3,92.1,0,1,low-returns_fast-reframe
5,142.684,2,3,low-returns_slow-reframe
6,17.066,0,1,low-returns_fast-reframe
10,29.733,1,1,low-returns_fast-reframe
12,16.3,0,1,low-returns_fast-reframe
13,43.15,0,1,low-returns_fast-reframe
14,95.033,3,2,high-returns_fast-reframe
15,82.317,1,1,low-returns_fast-reframe
22,22.017,0,1,low-returns_fast-reframe
23,45.85,1,1,low-returns_fast-reframe
24,17.716,0,1,low-returns_fast-reframe
26,72.517,0,1,low-returns_fast-reframe
27,44.983,0,1,low-returns_fast-reframe
29,20.583,0,1,low-returns_fast-reframe
32,38.1,0,1,low-returns_fast-reframe
34,53.234,1,1,low-returns_fast-reframe
35,37.15,0,1,low-returns_fast-reframe
37,39.334,0,1,low-returns_fast-reframe
38,11.867,0,1,low-returns_fast-reframe
41,20.916,0,1,low-returns_fast-reframe
42,23.833,0,1,low-returns_fast-reframe
44,30.3,0,1,low-returns_fast-reframe
45,22.583,0,1,low-returns_fast-reframe
46,48.2,1,1,low-returns_fast-reframe
47,45.8,0,1,low-returns_fast-reframe
48,123.55,1,3,low-returns_slow-reframe
49,28.75,0,1,low-returns_fast-reframe
51,50.733,0,1,low-returns_fast-reframe
53,40.05,0,1,low-returns_fast-reframe
62,31.85,2,1,low-returns_fast-reframe
63,137.884,1,3,low-returns_slow-reframe
64,72.75,5,2,high-returns_fast-reframe
67,35.333,1,1,low-returns_fast-reframe
69,53.617,4,2,high-returns_fast-reframe
70,54.883,2,1,low-returns_fast-reframe
71,70.65,0,1,low-returns_fast-reframe
72,39.366,0,1,low-returns_fast-reframe
73,53.95,1,1,low-returns_fast-reframe
74,30.183,0,1,low-returns_fast-reframe
76,118.884,0,1,low-returns_fast-reframe
78,52.4,0,1,low-returns_fast-reframe
80,54.05,0,1,low-returns_fast-reframe
81,53.433,0,1,low-returns_fast-reframe
83,24.083,0,1,low-returns_fast-reframe
84,20.767,0,1,low-returns_fast-reframe
85,45.634,0,1,low-returns_fast-reframe
87,42.717,0,1,low-returns_fast-reframe
88,38.384,1,1,low-returns_fast-reframe
90,49.767,4,2,high-returns_fast-reframe
91,33.25,0,1,low-returns_fast-reframe
98,42.084,0,1,low-returns_fast-reframe
99,84.566,0,1,low-returns_fast-reframe
100,115.8,2,3,low-returns_slow-reframe
101,104.033,0,1,low-returns_fast-reframe
102,34.166,0,1,low-returns_fast-reframe
103,129.7,2,3,low-returns_slow-reframe
105,24.583,0,1,low-returns_fast-reframe
109,81.167,1,1,low-returns_fast-reframe
113,99.85,1,1,low-returns_fast-reframe
117,197.301,0,3,low-returns_slow-reframe
118,45.916,1,1,low-returns_fast-reframe
121,76.283,1,1,low-returns_fast-reframe
123,33.484,0,1,low-returns_fast-reframe
125,36.6,0,1,low-returns_fast-reframe
126,37.167,0,1,low-returns_fast-reframe
127,129.783,0,1,low-returns_fast-reframe
131,31.8,1,1,low-returns_fast-reframe
134,38.683,0,1,low-returns_fast-reframe
135,55.033,0,1,low-returns_fast-reframe
136,25.917,1,1,low-returns_fast-reframe
137,105.983,0,1,low-returns_fast-reframe
139,25.767,0,1,low-returns_fast-reframe
141,46.766,0,1,low-returns_fast-reframe
142,148.1,2,3,low-returns_slow-reframe
143,17.45,1,1,low-returns_fast-reframe
144,24.717,1,1,low-returns_fast-reframe
145,40.767,0,1,low-returns_fast-reframe
147,179.116,0,3,low-returns_slow-reframe
149,29.65,0,1,low-returns_fast-reframe
150,39.75,0,1,low-returns_fast-reframe
151,23.3,2,1,low-returns_fast-reframe
152,205.35,0,3,low-returns_slow-reframe
153,49.517,0,1,low-returns_fast-reframe
154,49.95,1,1,low-returns_fast-reframe
155,69.284,2,1,low-returns_fast-reframe
156,63.9,0,1,low-returns_fast-reframe
157,28.017,0,1,low-returns_fast-reframe
158,56.267,2,1,low-returns_fast-reframe
159,79.583,1,1,low-returns_fast-reframe
160,56.766,0,1,low-returns_fast-reframe
161,39.133,1,1,low-returns_fast-reframe
162,22.366,0,1,low-returns_fast-reframe
163,120.267,2,3,low-returns_slow-reframe
166,191.316,4,3,low-returns_slow-reframe
168,39.966,0,1,low-returns_fast-reframe
169,78.834,1,1,low-returns_fast-reframe
170,23.717,0,1,low-returns_fast-reframe
