ID,seconds_to_first_goal_switch_lvl3,total_returns_lvl3,lvl3_goals,lvl3_av_rf,seconds_to_first_goal_switch_lvl1,total_returns_lvl1,lvl1_goals,lvl1_av_rf,total_returns_lvl2,seconds_to_first_goal_switch_lvl2,lvl2_goals,lvl2_av_rf,len_levels_complete
6,19.083,2,1.8,72.29,17.066,0,0.68,61.36,0,8.816,4.54,13.79,36
12,42.933,0,1.8,72.29,16.3,0,0.68,61.36,11,17.533,4.54,13.79,37
22,106.75,4,1.8,72.29,22.017,0,0.68,61.36,0,15.067,4.54,13.79,24
23,90.867,0,1.8,72.29,45.85,1,0.68,61.36,2,31.5,4.54,13.79,31
26,55.784,0,1.8,72.29,72.517,0,0.68,61.36,7,16.517,4.54,13.79,38
35,6.666,0,1.8,72.29,37.15,0,0.68,61.36,6,10.1,4.54,13.79,42
37,8.483,1,1.8,72.29,39.334,0,0.68,61.36,10,9.517,4.54,13.79,36
38,51.833,1,1.8,72.29,11.867,0,0.68,61.36,0,4.85,4.54,13.79,38
41,103.733,2,1.8,72.29,20.916,0,0.68,61.36,2,15.634,4.54,13.79,38
42,62.75,8,1.8,72.29,23.833,0,0.68,61.36,0,39.35,4.54,13.79,48
46,45.016,5,1.8,72.29,48.2,1,0.68,61.36,2,25.117,4.54,13.79,26
53,39.9,0,1.8,72.29,40.05,0,0.68,61.36,6,29.434,4.54,13.79,43
62,134.967,0,1.8,72.29,31.85,2,0.68,61.36,1,17.017,4.54,13.79,28
63,81.3,2,1.8,72.29,137.884,1,0.68,61.36,9,14.217,4.54,13.79,31
67,66.35,0,1.8,72.29,35.333,1,0.68,61.36,0,31.3,4.54,13.79,33
70,0,0,1.8,72.29,54.883,2,0.68,61.36,1,7.766,4.54,13.79,20
71,131.5,2,1.8,72.29,70.65,0,0.68,61.36,2,22.134,4.54,13.79,27
73,44.35,2,1.8,72.29,53.95,1,0.68,61.36,0,11.6,4.54,13.79,35
74,16.75,4,1.8,72.29,30.183,0,0.68,61.36,0,9.266,4.54,13.79,30
76,22.55,0,1.8,72.29,118.884,0,0.68,61.36,15,10.183,4.54,13.79,21
80,47.034,2,1.8,72.29,54.05,0,0.68,61.36,0,9,4.54,13.79,32
83,185.683,2,1.8,72.29,24.083,0,0.68,61.36,7,3.334,4.54,13.79,29
90,50.134,0,1.8,72.29,49.767,4,0.68,61.36,3,9.6,4.54,13.79,43
91,0,0,1.8,72.29,33.25,0,0.68,61.36,2,14.816,4.54,13.79,37
100,45.65,8,1.8,72.29,115.8,2,0.68,61.36,2,25.366,4.54,13.79,32
105,74.417,0,1.8,72.29,24.583,0,0.68,61.36,0,9.25,4.54,13.79,39
109,17.65,1,1.8,72.29,81.167,1,0.68,61.36,0,16.917,4.54,13.79,48
117,22.65,0,1.8,72.29,197.301,0,0.68,61.36,1,9.267,4.54,13.79,35
121,215.866,1,1.8,72.29,76.283,1,0.68,61.36,10,15.55,4.54,13.79,27
123,115.383,0,1.8,72.29,33.484,0,0.68,61.36,5,19.05,4.54,13.79,24
126,32.1,3,1.8,72.29,37.167,0,0.68,61.36,0,11.6,4.54,13.79,35
134,51.333,0,1.8,72.29,38.683,0,0.68,61.36,2,4.8,4.54,13.79,40
136,316.667,8,1.8,72.29,25.917,1,0.68,61.36,2,5.5,4.54,13.79,31
143,14.166,6,1.8,72.29,17.45,1,0.68,61.36,2,7.117,4.54,13.79,38
147,26.6,2,1.8,72.29,179.116,0,0.68,61.36,8,29.683,4.54,13.79,42
149,71.516,1,1.8,72.29,29.65,0,0.68,61.36,2,12.467,4.54,13.79,31
150,45.134,0,1.8,72.29,39.75,0,0.68,61.36,0,13.35,4.54,13.79,67
151,8.516,0,1.8,72.29,23.3,2,0.68,61.36,14,5.55,4.54,13.79,37
152,223.967,4,1.8,72.29,205.35,0,0.68,61.36,0,7.867,4.54,13.79,25
156,46.634,6,1.8,72.29,63.9,0,0.68,61.36,8,8.85,4.54,13.79,29
166,31.384,0,1.8,72.29,191.316,4,0.68,61.36,3,15.85,4.54,13.79,22
176,13,5,1.8,72.29,31.95,0,0.68,61.36,23,10.067,4.54,13.79,40
181,116.217,2,1.8,72.29,51.1,0,0.68,61.36,13,15.033,4.54,13.79,45
182,32.083,1,1.8,72.29,27.65,0,0.68,61.36,4,6.666,4.54,13.79,25
183,41.567,4,1.8,72.29,107.2,0,0.68,61.36,0,14.083,4.54,13.79,27
184,79.2,0,1.8,72.29,44.783,0,0.68,61.36,8,20.134,4.54,13.79,33
185,0,0,1.8,72.29,22.883,0,0.68,61.36,1,14.15,4.54,13.79,52
