index,Coef.,Std.Err.,t,P>|t|,[0.025,0.975],Sequence,N
const,32.63228393996892,1.8270434388504113,17.860705030911245,3.9495666845418114e-26,28.98007614680609,36.28449173313175,const,
low-returns_fast-reframe->low-returns_fast-reframe->low-returns_fast-reframe,7.948361221321365,2.557523312962187,3.107835295591255,0.0028437572028305494,2.8359449666354335,13.060777476007296,low-returns_fast-reframe->low-returns_fast-reframe->low-returns_fast-reframe,31.0
low-returns_fast-reframe->low-returns_slow-reframe->low-returns_slow-reframe,9.367716060031011,7.2788785637195925,1.2869724337376496,0.2028881439820953,-5.182554858885622,23.917986978947646,low-returns_fast-reframe->low-returns_slow-reframe->low-returns_slow-reframe,2.0
low-returns_fast-reframe->low-returns_slow-reframe->high-returns_fast-reframe,5.117716060031039,5.30660724346653,0.9644045291522088,0.3385897949302614,-5.490040667437549,15.725472787499628,low-returns_fast-reframe->low-returns_slow-reframe->high-returns_fast-reframe,4.0
low-returns_fast-reframe->high-returns_fast-reframe->low-returns_fast-reframe,-1.0322839399689538,4.816189561740532,-0.21433623546908206,0.8309882456630586,-10.659709690615493,8.595141810677585,low-returns_fast-reframe->high-returns_fast-reframe->low-returns_fast-reframe,5.0
low-returns_slow-reframe->low-returns_fast-reframe->high-returns_fast-reframe,12.36771606003106,10.130452041409944,1.220845428168054,0.2267671753532218,-7.882769017203582,32.6182011372657,low-returns_slow-reframe->low-returns_fast-reframe->high-returns_fast-reframe,1.0
low-returns_fast-reframe->low-returns_slow-reframe->low-returns_fast-reframe,2.1858978782128644,3.516285951731277,0.6216496349327383,0.5364514919072114,-4.843057582190619,9.214853338616347,low-returns_fast-reframe->low-returns_slow-reframe->low-returns_fast-reframe,11.0
high-returns_fast-reframe->low-returns_fast-reframe->low-returns_fast-reframe,2.8677160600310425,5.306607243466531,0.540404806397112,0.5908539897821294,-7.7400406674375475,13.475472787499633,high-returns_fast-reframe->low-returns_fast-reframe->low-returns_fast-reframe,4.0
low-returns_slow-reframe->low-returns_slow-reframe->low-returns_fast-reframe,3.867716060031044,7.278878563719592,0.5313615313365794,0.5970669105479436,-10.682554858885588,18.417986978947674,low-returns_slow-reframe->low-returns_slow-reframe->low-returns_fast-reframe,2.0
low-returns_fast-reframe->high-returns_fast-reframe->high-returns_fast-reframe,7.367716060031071,10.13045204140995,0.7272840372684533,0.46978942269445023,-12.882769017203582,27.618201137265725,low-returns_fast-reframe->high-returns_fast-reframe->high-returns_fast-reframe,1.0
low-returns_fast-reframe->low-returns_fast-reframe->high-returns_fast-reframe,-2.2989506066356222,4.4593814444109245,-0.5155312760959181,0.6080152850826387,-11.213127093983367,6.615225880712123,low-returns_fast-reframe->low-returns_fast-reframe->high-returns_fast-reframe,6.0
low-returns_slow-reframe->low-returns_fast-reframe->low-returns_fast-reframe,-0.9656172733022387,6.0360647781536025,-0.1599746372499361,0.8734211060196732,-13.031538834904035,11.100304288299556,low-returns_slow-reframe->low-returns_fast-reframe->low-returns_fast-reframe,3.0
low-returns_fast-reframe->low-returns_fast-reframe->low-returns_slow-reframe,-0.6322839399689513,5.30660724346653,-0.11915031788859375,0.9055414971303233,-11.24004066743754,9.975472787499637,low-returns_fast-reframe->low-returns_fast-reframe->low-returns_slow-reframe,4.0
low-returns_slow-reframe->low-returns_slow-reframe->high-returns_fast-reframe,-0.632283939968946,10.130452041409946,-0.06241418817091063,0.9504337753259637,-20.882769017203593,19.6182011372657,low-returns_slow-reframe->low-returns_slow-reframe->high-returns_fast-reframe,1.0
high-returns_fast-reframe->low-returns_fast-reframe->high-returns_fast-reframe,-1.6322839399689368,10.130452041409944,-0.16112646635083006,0.8725176841810994,-21.88276901720358,18.618201137265707,high-returns_fast-reframe->low-returns_fast-reframe->high-returns_fast-reframe,1.0
high-returns_fast-reframe->high-returns_fast-reframe->low-returns_fast-reframe,-3.63228393996894,10.130452041409942,-0.3585510227106711,0.7211490275615059,-23.88276901720358,16.6182011372657,high-returns_fast-reframe->high-returns_fast-reframe->low-returns_fast-reframe,1.0
low-returns_slow-reframe->low-returns_fast-reframe->low-returns_slow-reframe,-7.632283939968946,10.130452041409944,-0.7534001354303529,0.4540610470707602,-27.88276901720359,12.618201137265697,low-returns_slow-reframe->low-returns_fast-reframe->low-returns_slow-reframe,1.0
