ID,unique_goals,total_returns,seconds_per_goal,seconds_to_first_goal_switch,impasses,input_count_exploring,time_in_level_seconds,avg_impasse_per_goal
2,2,2,18.233,13.416,7,110,82.466,7.0
6,2,0,4.408,8.816,0,15,13.05,0.0
12,7,11,12.821285714285716,17.533,17,230,148.016,1.6666666666666667
13,6,3,18.163833333333333,9.3,52,365,281.8,8.2
22,2,0,7.5335,15.067,9,31,24.3,9.0
23,3,2,93.656,31.5,14,111,390.267,5.0
24,3,2,6.6000000000000005,0.383,8,28,27.2,4.0
26,5,7,33.8036,16.517,14,146,236.167,2.25
27,3,0,7.0776666666666666,18.35,14,79,57.333,5.5
29,3,1,4.005333333333334,8.116,7,53,29.816,2.5
32,2,1,79.7255,27.234,24,20,168.634,24.0
34,2,1,5.0,6.067,0,35,30.85,0.0
35,5,6,9.74,10.1,9,119,101.85,2.0
36,5,12,50.95,24.017,32,524,412.817,6.75
37,5,10,51.56,9.517,27,284,446.416,5.0
38,2,0,2.425,4.85,5,17,8.9,5.0
41,3,2,14.905666666666667,15.634,7,28,52.217,3.0
42,3,0,14.955333333333334,39.35,10,39,67.683,4.5
44,2,0,8.1915,16.383,0,22,22.783,0.0
45,6,19,68.14416666666666,10.866,57,456,603.216,10.4
46,5,2,13.1568,25.117,21,115,112.283,4.75
47,3,0,17.188666666666666,43.666,17,114,99.116,8.5
48,5,14,57.03620000000001,6.733,48,341,386.55,10.5
51,2,0,5.1665,10.333,4,17,14.6,4.0
53,5,6,44.4268,29.434,6,167,276.617,1.25
57,5,2,16.080199999999998,10.567,11,110,135.067,2.75
62,3,1,23.53333333333333,17.017,10,47,104.217,5.0
63,6,9,25.747333333333334,14.217,17,252,258.05,3.0
64,6,44,105.20316666666668,16.984,155,591,812.917,29.2
67,3,0,10.488666666666667,31.3,6,34,51.117,2.5
70,3,1,4.222,7.766,6,44,34.3,3.0
71,4,2,21.8335,22.134,10,79,119.317,3.0
72,5,13,37.6398,7.333,48,106,244.95,11.5
73,2,0,5.8,11.6,3,15,18.717,3.0
74,2,0,4.633,9.266,4,16,18.183,3.0
76,7,15,25.264142857142854,10.183,43,281,295.483,6.333333333333333
80,3,0,6.616666666666667,9.0,13,213,102.016,0.5
81,5,5,33.2836,5.867,9,126,229.167,2.0
83,4,7,34.15875,3.334,19,162,194.167,5.0
84,2,0,4.917,9.834,0,8,12.317,0.0
85,5,3,7.890000000000001,3.2,10,42,52.833,2.5
87,5,6,49.63,15.167,15,137,324.95,3.5
88,6,9,89.291,18.084,173,139,587.284,34.6
90,3,3,32.47166666666667,9.6,18,25,116.567,8.5
91,4,2,25.658250000000002,14.816,37,99,152.983,11.666666666666666
98,7,9,19.576428571428572,1.6,70,466,314.95,8.833333333333334
99,4,7,25.35,11.317,35,119,164.066,11.666666666666666
100,4,2,25.9455,25.366,21,59,136.633,6.333333333333333
102,5,9,30.880200000000002,16.083,52,111,197.016,11.75
103,5,10,53.30999999999999,25.933,41,309,366.833,7.5
105,2,0,4.625,9.25,1,22,17.784,1.0
109,2,0,8.4585,16.917,0,17,29.134,0.0
116,4,3,53.487249999999996,37.733,27,36,235.983,8.666666666666666
117,3,1,10.200333333333333,9.267,5,17,37.917,2.5
118,5,2,6.3034,5.9,16,25,39.85,4.0
121,6,10,37.88033333333333,15.55,44,147,278.95,7.4
123,7,5,14.800285714285716,19.05,35,282,238.067,4.333333333333333
126,2,0,5.8,11.6,7,26,23.366,7.0
127,7,21,68.54514285714286,2.417,63,370,682.217,10.166666666666666
134,4,2,4.158250000000001,4.8,11,107,64.334,2.3333333333333335
135,5,7,10.406600000000001,12.083,16,79,82.3,4.0
136,3,2,2.5723333333333334,5.5,8,163,79.183,0.0
137,5,6,30.1402,18.867,28,46,172.984,7.0
141,5,6,11.6398,9.533,29,233,152.933,5.0
142,4,1,13.016499999999999,15.8,20,185,194.85,5.666666666666667
143,3,2,4.533333333333334,7.117,5,28,22.384,2.5
145,4,3,17.8125,30.033,30,150,126.033,5.333333333333333
147,5,8,54.470000000000006,29.683,54,118,335.15,13.0
149,4,2,19.933249999999997,12.467,19,21,88.7,6.333333333333333
150,2,0,6.675,13.35,4,13,17.7,4.0
151,6,14,15.138833333333332,5.55,53,404,213.867,7.6
152,2,0,3.9335,7.867,0,13,12.167,0.0
153,9,22,39.928,21.784,71,910,761.65,7.571428571428571
154,4,1,17.08325,11.267,8,25,83.167,2.6666666666666665
156,4,8,11.60825,8.85,9,47,68.483,2.0
158,4,3,9.78775,11.633,12,52,61.883,2.3333333333333335
161,7,29,101.44314285714286,17.067,178,731,938.767,27.166666666666668
162,5,8,43.0202,3.217,41,294,358.917,8.75
166,4,3,13.40025,15.85,19,31,69.65,6.0
168,9,25,78.49066666666666,5.25,138,757,1084.185,13.125
169,6,12,86.14150000000001,21.166,146,327,780.432,21.0
170,3,8,149.17233333333334,18.316,31,232,571.95,15.5
171,3,2,13.5,14.233,39,126,129.05,19.5
173,4,2,12.91675,15.783,11,77,84.967,3.3333333333333335
174,5,2,11.1402,23.0,17,39,77.35,4.25
175,4,2,16.241999999999997,18.467,17,27,73.683,5.666666666666667
176,4,23,67.7165,10.067,72,226,336.149,16.666666666666668
181,8,13,19.424875,15.033,48,393,352.733,6.428571428571429
182,5,4,6.7265999999999995,6.666,3,147,79.066,0.75
183,4,0,5.45825,14.083,4,72,57.85,1.3333333333333333
184,4,8,24.121,20.134,18,136,144.767,5.666666666666667
185,2,1,8.625,14.15,3,42,41.084,3.0
186,4,16,151.69549999999998,44.467,101,207,730.05,29.666666666666668
188,4,5,33.13775,2.4,9,33,150.8,2.6666666666666665
190,3,3,9.589,6.883,8,56,49.766,3.0
191,4,6,17.896,6.65,16,121,96.4,4.666666666666667
192,5,3,10.006400000000001,6.766,11,147,97.083,2.25
193,2,0,6.5165,13.033,0,13,17.867,0.0
194,3,2,13.083333333333334,19.366,9,54,67.55,4.0
195,2,0,3.6665,7.333,0,15,13.7,0.0
196,3,5,29.144333333333332,1.483,14,159,149.733,6.5
197,4,5,24.075,7.55,16,72,123.95,4.0
198,5,2,9.7266,12.183,18,37,78.267,4.5
199,5,10,77.3732,7.633,75,228,467.0,16.75
200,6,19,36.2305,34.183,22,188,292.383,3.6
202,5,4,8.57,11.816,23,307,188.133,3.75
204,4,5,61.28725,1.917,49,47,339.117,16.0
205,5,6,46.7468,27.7,47,130,307.283,11.75
207,2,1,37.3335,25.417,8,18,85.867,8.0
208,4,17,56.292,24.666,30,206,296.583,8.333333333333334
209,2,0,8.8,17.6,4,15,22.033,4.0
210,5,9,9.679599999999999,6.166,15,172,86.466,3.0
211,8,38,42.1045,13.367,120,602,556.283,16.857142857142858
212,4,7,34.024750000000004,16.9,5,171,225.267,1.6666666666666667
213,4,2,16.967,10.967,12,96,108.634,3.6666666666666665
215,2,0,11.908,23.816,6,15,27.816,6.0
216,8,35,54.314249999999994,6.5,101,612,554.9,12.571428571428571
217,3,2,9.705666666666668,8.767,8,39,47.867,3.5
219,2,0,4.4085,8.817,0,15,12.733,0.0
220,3,1,35.24966666666666,11.6,22,18,114.817,11.0
221,2,0,2.908,5.816,0,13,9.316,0.0
222,4,4,45.966750000000005,34.65,29,75,281.75,9.666666666666666
223,4,6,63.44575,2.05,8,81,292.45,2.0
224,5,9,32.8762,16.933,33,160,272.383,6.75
225,4,5,17.7205,21.016,2,25,82.433,0.6666666666666666
226,2,0,7.525,15.05,6,15,18.833,6.0
227,6,6,16.619333333333334,6.95,9,203,195.316,1.8
228,5,19,92.6468,3.75,83,246,595.433,19.75
229,3,2,18.183333333333334,12.75,7,43,68.216,2.5
230,3,2,12.116333333333335,6.583,11,29,42.767,5.0
232,6,13,66.26366666666667,24.9,28,174,502.132,5.2
235,6,1,6.0361666666666665,17.0,11,129,81.417,2.0
236,3,1,24.238666666666663,30.633,8,48,130.633,3.5
237,7,7,31.188,22.95,12,89,293.034,1.8333333333333333
238,3,0,6.688666666666666,14.6,2,10,23.917,1.0
239,4,2,6.06675,1.433,20,47,38.766,6.333333333333333
240,3,4,12.905333333333333,16.4,7,211,86.317,3.5
241,3,2,10.083333333333334,6.517,8,40,42.85,4.0
242,2,0,17.183,34.366,11,80,61.866,11.0
243,3,2,18.061,8.217,14,25,71.317,7.0
244,6,13,48.95283333333333,8.417,25,257,479.233,3.8
