ID,unique_goals,total_returns,seconds_per_goal,seconds_to_first_goal_switch,impasses,input_count_exploring,time_in_level_seconds,avg_impasse_per_goal
15,5,18,95.5934,13.434,72,303,715.95,12.8
49,3,3,22.594666666666665,1.85,19,40,101.267,6.333333333333333
101,2,0,11.1835,21.767,8,36,76.95,3.5
157,4,7,7.999499999999999,8.0,23,73,64.833,5.25
159,5,29,59.3338,18.333,121,811,508.533,12.4
160,7,24,185.69485714285716,24.966,63,407,1915.75,8.0
178,4,3,33.883,20.133,24,89,183.8,5.5
187,4,18,153.26675,82.55,131,491,852.6,15.5
234,6,15,47.941833333333335,14.65,32,337,428.1,5.0
250,7,10,39.67628571428571,31.017,70,353,603.234,9.0
