ID,Session_timestamp,Level_timestamp,Event_type,Event,Details,epoch_time,Ruleset,win_or_quit,goals,impasses,time_offset
101,0:31:37:783,0:0:8:883,change,update,baba:3:5:0,1643392952783.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
101,0:31:37:783,0:0:8:883,input,right,,1643392952783.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
101,0:31:38:616,0:0:9:716,change,update,baba:4:5:0,1643392953616.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,833
101,0:31:38:616,0:0:9:716,input,right,,1643392953616.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
101,0:31:39:350,0:0:10:450,change,update,baba:5:5:0,1643392954350.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,734
101,0:31:39:350,0:0:10:450,input,right,,1643392954350.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
101,0:31:39:616,0:0:10:716,change,update,baba:6:5:0,1643392954616.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,266
101,0:31:39:616,0:0:10:716,input,right,,1643392954616.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
101,0:31:39:783,0:0:10:883,change,update,baba:7:5:0,1643392954783.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,167
101,0:31:39:783,0:0:10:883,input,right,,1643392954783.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
101,0:31:39:950,0:0:11:050,change,update,baba:8:5:0,1643392954950.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,167
101,0:31:39:950,0:0:11:050,input,right,,1643392954950.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
101,0:31:40:116,0:0:11:216,change,update,baba:9:5:0,1643392955116.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,impasse_1,166
101,0:31:40:116,0:0:11:216,input,right,,1643392955116.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,impasse_1,0
101,0:31:40:500,0:0:11:600,input,right,,1643392955500.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,impasse_1,384
101,0:31:40:933,0:0:12:033,change,update,baba:9:5:2,1643392955933.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,433
